1;"eplusout"

"Date/Time";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] Water Heater Tank Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)"
;"SOLAR COLLECTOR WATER INLET NODE";"SOLAR COLLECTOR WATER OUTLET NODE";"SOLAR LOOP WATER HEATER DHW INLET NODE";"SOLAR LOOP WATER HEATER DHW OUTLET NODE";"SOLAR LOOP WATER HEATER HEATING OUTLET NODE";"SOLAR LOOP WATER HEATER HEATING INLET NODE";"SOLAR LOOP WATER HEATER";"TEMPERING VALVE WATER INLET NODE";"AUX HW LOOP WATER HEATER DHW INLET NODE";"SOLAR LOOP WATER HEATER DHW OUTLET NODE";"SOLAR LOOP WATER HEATER DHW INLET NODE";"AUX HW LOOP WATER HEATER DHW INLET NODE";"AUX HW LOOP SUPPLY SIDE OUTLET";"3637 HEATED FLOOR HOT WATER INLET NODE";"3637 HEATED FLOOR HOT WATER OUTLET NODE"
"3/01/2002 23:00";"80.6447358010309";"11.7591487322206";"40";"80.581159044317";"80.581159044317";"80.1861938654803";"80.581159044317";"40";"40";"80.581159044317";"40";"40";"40";"40";"40"
"4/01/2002 00:00";"80.6447358010309";"11.1591487322205";"40";"80.581159044317";"80.581159044317";"80.1861938654803";"80.581159044317";"40";"40";"80.581159044317";"40";"40";"40";"40";"40"
"4/01/2002 01:00";"80.6447358010309";"10.5591487322205";"40";"80.581159044317";"80.581159044317";"80.1861938654803";"80.581159044317";"40";"40";"80.581159044317";"40";"40";"40";"40";"40"
"4/01/2002 02:00";"80.6447358010309";"10.0341487322205";"40";"80.581159044317";"80.581159044317";"80.1861938654803";"80.581159044317";"40";"40";"80.581159044317";"40";"40";"40";"40";"40"
"4/01/2002 03:00";"80.6447358010309";"9.60914873222052";"40";"80.581159044317";"80.581159044317";"80.1861938654803";"80.581159044317";"40";"40";"80.581159044317";"40";"40";"40";"40";"40"
"4/01/2002 04:00";"80.6447358010309";"9.13414873222052";"40";"80.581159044317";"80.581159044317";"80.1861938654803";"80.581159044317";"40";"40";"80.581159044317";"40";"40";"40";"40";"40"
"4/01/2002 05:00";"80.6447358010309";"8.48414873222048";"40";"80.581159044317";"80.581159044317";"80.1861938654803";"80.581159044317";"40";"40";"80.581159044317";"40";"40";"40";"40";"40"
"4/01/2002 06:00";"80.6447358010309";"11.0547344546676";"40";"80.581159044317";"80.581159044317";"80.1861938654803";"80.581159044317";"40";"40";"80.581159044317";"40";"40";"40";"40";"40"
"4/01/2002 07:00";"80.6447358010309";"21.7827242722108";"40";"80.581159044317";"80.581159044317";"80.1861938654803";"80.581159044317";"40";"40";"80.581159044317";"40";"40";"40";"40";"40"
"4/01/2002 08:00";"80.6447358010309";"38.1133946010835";"40";"80.581159044317";"80.581159044317";"80.1861938654803";"80.581159044317";"40";"40";"80.581159044317";"40";"40";"40";"40";"40"
"4/01/2002 09:00";"80.4856716855809";"80.1803723609194";"40";"80.482145962981";"80.482145962981";"80.1865726725354";"80.482145962981";"40";"40";"80.482145962981";"40";"40";"40";"40";"40"
"4/01/2002 10:00";"80.3635152835417";"80.2412871881705";"40";"80.3618514672634";"80.3618514672634";"80.2464008606802";"80.3618514672634";"40";"40";"80.3618514672634";"40";"40";"40";"40";"40"
"4/01/2002 11:00";"80.3367715497351";"80.3525753112523";"40";"80.3366180595036";"80.3366180595036";"80.3569846978672";"80.3366180595036";"40";"40";"80.3366180595036";"40";"40";"40";"40";"40"
"4/01/2002 12:00";"80.3693272440612";"80.4445295535199";"40";"80.3699275481464";"80.3699275481464";"80.4494880065812";"80.3699275481464";"40";"40";"80.3699275481464";"40";"40";"40";"40";"40"
"4/01/2002 13:00";"80.4157418536144";"80.475954892671";"40";"80.4163138090184";"80.4163138090184";"80.4820998803951";"80.4163138090184";"40";"40";"80.4163138090184";"40";"40";"40";"40";"40"
"4/01/2002 14:00";"80.4326067473156";"80.4040406068384";"40";"80.4323885374444";"80.4323885374444";"80.4121261487581";"80.4323885374444";"40";"40";"80.4323885374444";"40";"40";"40";"40";"40"
"4/01/2002 15:00";"80.3778280179849";"80.1995412546639";"40";"80.3761414783951";"80.3761414783951";"80.2097664465233";"80.3761414783951";"40";"40";"80.3761414783951";"40";"40";"40";"40";"40"
"4/01/2002 16:00";"80.2178773411838";"79.8133937810401";"40";"80.2140340764184";"80.2140340764184";"79.8274232469801";"80.2140340764184";"40";"40";"80.2140340764184";"40";"40";"40";"40";"40"
"4/01/2002 17:00";"80.1551631036592";"33.2115804016214";"40";"80.0878821288868";"80.0878821288868";"79.6753210949624";"80.0878821288868";"40";"40";"80.0878821288868";"40";"40";"40";"40";"40"
"4/01/2002 18:00";"80.1551631036592";"19.6518955334564";"40";"80.0878821288868";"80.0878821288868";"79.6753210949624";"80.0878821288868";"40";"40";"80.0878821288868";"40";"40";"40";"40";"40"
"4/01/2002 19:00";"80.1551631036592";"12.1841487322206";"40";"80.0878821288868";"80.0878821288868";"79.6753210949624";"80.0878821288868";"40";"40";"80.0878821288868";"40";"40";"40";"40";"40"
"4/01/2002 20:00";"80.1551631036592";"11.4591487322206";"40";"80.0878821288868";"80.0878821288868";"79.6753210949625";"80.0878821288868";"40";"40";"80.0878821288868";"40";"40";"40";"40";"40"
"4/01/2002 21:00";"80.1551631036592";"10.7841487322205";"40";"80.0878821288868";"80.0878821288868";"79.6753210949624";"80.0878821288868";"40";"40";"80.0878821288868";"40";"40";"40";"40";"40"
"4/01/2002 22:00";"80.1551631036592";"10.1591487322205";"40";"80.0878821288868";"80.0878821288868";"79.6753210949624";"80.0878821288868";"40";"40";"80.0878821288868";"40";"40";"40";"40";"40"
"4/01/2002 23:00";"80.1551631036592";"9.9341487322205";"40";"80.0878821288868";"80.0878821288868";"79.6753210949624";"80.0878821288868";"40";"40";"80.0878821288868";"40";"40";"40";"40";"40"
"5/01/2002 00:00";"80.1551631036592";"9.83414873222059";"40";"80.0878821288868";"80.0878821288868";"79.6753210949624";"80.0878821288868";"40";"40";"80.0878821288868";"40";"40";"40";"40";"40"
